Noodler's Kiowa Pecan,(Noodler(')?s )?kiowa pecan,http://i.imgur.com/ZMKN0vp.jpg
Diamine Classic Red,Diamine Classic Red,http://i.imgur.com/GvdzLgL.jpg
Diamine Regency Blue,(Diamine )?regency blue,http://i.imgur.com/sz4qzvv.jpg
Diamine Blue Velvet,Diamine Blue velvet,http://i.imgur.com/Qd5xwG8.jpg
KWZ Ink #38,KWZ(I)? (Ink )?#( )?38,http://i.imgur.com/e95zLxa.jpg
Lamy Dark Lilac,(Lamy )?Dark Lilac,http://i.imgur.com/vEUnshz.jpg
Noodler's Lightning Blue,Noodler(')?s lightning blue,http://i.imgur.com/VvXceb1.jpg
Noodler's Baystate Cranberry,(Noodler(')?s )?baystate cranberry,http://i.imgur.com/ImtX3QQ.jpg
Noodler's La Couleur Royale 2,(Noodler(')?s )?La (Couleur |Color |Coleur )Royale? 2,http://i.imgur.com/zmWhzE6.jpg
Noodler's Dragon Catfish Green,(Noodler(')?s )?Dragon Catfish Green,http://i.imgur.com/hGB2c2C.jpg
Diamine Sunset,diamine sunset,http://i.imgur.com/bdpOEcv.jpg
Pilot Iroshizuku Yu-yake,(pilot )?(iroshizuku )?yu( )?(-)?yake,http://i.imgur.com/5Z4Qzmy.jpg
Diamine Ochre,Diamine ochre,http://i.imgur.com/XtmMRzn.jpg
Sailor Jentle Irori,(sailor )?(jentle )?irori,http://i.imgur.com/6MBPJk8.jpg
Parker Quink Blue-Black,(parker )?(quink )?blue-? ?black,http://i.imgur.com/29m4jZZ.jpg
Sailor Jentle Apricot,(sailor )?(jentle )?apricot,http://i.imgur.com/sVc5dtQ.jpg
Diamine Eclipse,(Diamine )?eclipse,http://i.imgur.com/fplz6jv.jpg
Noodler's Lexington Gray,(Noodler(')?s )?lexington gr(e|a)y,http://i.imgur.com/b5nJegk.jpg
Noodler's Gruene Cactus  Eel ,(Noodler(')?s )?(gruene cactus eel|eel gruene cactus),http://i.imgur.com/oO8o43m.jpg
Noodler's Squeteague,(Noodler(')?s )?squeteague,http://i.imgur.com/KtOh4b4.jpg
Noodler's V-Mail Mandalay Maroon,(Noodler(')?s )?(v(-)?mail )?mandalay maroon,http://i.imgur.com/QU61EbG.jpg
Noodler's Gruene Cactus,(Noodler(')?s )?gruene cactus,http://i.imgur.com/iNQB4xN.jpg
Sailor BungBox Piano mahogany,(sailor )?(bung( )?(-)?box )?(bb )?piano mahogany,http://i.imgur.com/PrKiqc0.jpg
Diamine Sherwood Green,(Diamine )?sherwood green,http://i.imgur.com/0sK642O.jpg
Sheaffer Blue/Black,Sheaffer blue/?-? ?black,http://i.imgur.com/WD1kYiV.jpg
Sailor Storia Balloon Green,(sailor )?(storia )?balloon green,http://i.imgur.com/Wq3bYJT.jpg
Diamine Prussian Blue,(Diamine )?prussian blue,http://i.imgur.com/hcHjSa6.jpg
Private Reserve American Blue,(PR |private reserve )?american blue,http://i.imgur.com/JosVpxN.jpg
Diamine Shimmertastic Red Lustre,(Diamine )?(Shimmertastic )?red (lustre|luster),http://i.imgur.com/BIqm6Me.jpg
KWZ Ink #27,KWZ(I)? (Ink )?#( )?27,http://i.imgur.com/eT3HGCq.jpg
Montblanc for BMW,(Mont ?blanc |MB )(for )?BMW( Blue)?,http://i.imgur.com/qNT9M7y.jpg
Noodler's Zhivago,(Noodler(')?s )?zhivago,http://i.imgur.com/HOsbuww.jpg
Caran d'Ache UltraViolet,(Caran d(')?( )?ache )?(cd(')?a )?Ultraviolet,http://i.imgur.com/h7TvTYW.jpg
Noodler's El Lawrence,(Noodler(')?s )?el lawrence,http://i.imgur.com/AR8L2HU.jpg
Noodler's Walnut,Noodler(')?s walnut,http://i.imgur.com/A4VJFiO.jpg
Diamine Cerise,(Diamine )?cerise,http://i.imgur.com/72a7AGu.jpg
Private Reserve Burgundy Mist,(PR |private reserve )?burgundy mist,http://i.imgur.com/nCLx6zF.jpg
Montblanc Toffee Brown,(Mont ?blanc |MB )toffee brown,http://i.imgur.com/Kx43nqS.jpg
Hero 234 black,Hero (black ?|234 ?)?(234|black)?,http://i.imgur.com/MhEY6fd.jpg
Pilot Iroshizuku Shin-Kai,(pilot )?(iroshizuku )?shin ?-?kai,http://i.imgur.com/mminiNW.jpg
Sailor Jentle Shigure,(sailor )?(jentle )?shigure,http://i.imgur.com/c1izb5D.jpg
KWZ Ink Cherry,KWZ(I)? (Ink )?cherry,http://i.imgur.com/vMQj9KL.jpg
De Atramentis Fog Grey,(De ?Atramentis |DA )?Fog Grey,http://i.imgur.com/8RaL0MU.jpg
Chesterfield Smoked Topaz,Chesterfield Smoked Topaz,http://i.imgur.com/3ItvHAx.jpg
Noodler's Navy,Noodler(')?s navy,http://i.imgur.com/HOC98xI.jpg
Diamine Meadow,Diamine Meadow,http://i.imgur.com/VRWnMdW.jpg
Noodler's Black Eel,(Noodler(')?s )?(Black eel|eel black),http://i.imgur.com/xvH2AbK.jpg
Waterman Inspired Blue,(waterman )?(inspired |south sea(s)? )blue,http://i.imgur.com/3rVmU3f.jpg
Pilot Iroshizuku Fuyu-Syogun,(pilot )?(iroshizuku )?fuyu ?-?syogun,http://i.imgur.com/5EskRYq.jpg
J Herbin Orange Indien,(J?.? ?Herbin )?orange indien,http://i.imgur.com/TNS5N7W.jpg
Private Reserve Spearmint,(PR |private reserve )?spearmint,http://i.imgur.com/6R6pIyV.jpg
Noodler's V-Mail GI Green,(Noodler(')?s )?(v(-)?mail )?g.?i.? green,http://i.imgur.com/Q9pXpRK.jpg
De Atramentis R.L. Stevenson,((De ?Atramentis )|(DA ))?R.?L.? Stevenson,http://i.imgur.com/MA6PG6o.jpg
Seitz-Kreuznach Dark Orchid - Orchideen Violett,(Seitz-? ?Kreuznach )?(SK )?(dark orchid|orchideen violett),http://i.imgur.com/PuPlfEf.jpg
Diamine Oxblood,(Diamine )?oxblood,http://i.imgur.com/USEwJLz.jpg
Diamine Safari,diamine safari,http://i.imgur.com/giz0Rjc.jpg
Kaweco Paradise Blue,(Kaweco )?Paradise Blue,http://i.imgur.com/hMlmh3W.jpg
Private Reserve Avacado,(PR |private reserve )?av(a|o)cado,http://i.imgur.com/aDy1QoT.jpg
Sailor BungBox Sweet Love Pink,(sailor )?(bung( )?(-)?box )?(bb )?Sweet love( pink)?,http://i.imgur.com/xC4RFMp.jpg
Noodler's Purple Wampum,(Noodler(')?s )?Purple Wampum,http://i.imgur.com/YoQ4Mxv.jpg
Diamine Registrar's Blue Black,(Diamine )?registrar(')?s blue(-)?( )?black,http://i.imgur.com/vzzFEiu.jpg
Diamine Aqua Lagoon,(Diamine )?aqua lagoon,http://i.imgur.com/wBu648G.jpg
Sailor BungBox Sweet Potato Purple,(sailor )?(bung( )?(-)?box )?(bb )?sweet potato purple,http://i.imgur.com/FUC7Ztm.jpg
